351,PT Pasona HR Indonesia,"HR, People, Talent",Indonesia
352,PT Paus Skala Teknologi (whee Indonesia),"Product, Ops",Indonesia
353,PT Raksasa Laju Lintang (Ralali.com),"Sales, BD and Partnerships",Indonesia
354,PT RAKSASA LAJU LINTANG (RALALI),"BD and Partnerships, Ops, HR, People, Talent",Indonesia
355,PT Sebangsa Bersama (Sebangsa Network),"Marketing, Product",Indonesia
356,Pt Smart tbk,"Engineering, Design",Indonesia
357,PT Solusi Energi Terbarukan,Marketing,Indonesia
358,PT Solusi Invest Propertindo,"Marketing, Sales",Indonesia
359,PT Subang Autocomp Indonesa (Yazaki Corporation),Engineering,Indonesia
360,PT TRAVLR GUIDE INDONESIA,"Engineering, Product, Data and Analytics",Indonesia
361,PT TRISINAR INDOPRATAMA,Engineering,Indonesia
362,PT WIN ELECTROINDO HEAT,"Marketing, Sales, BD and Partnerships, Engineering, Product",Indonesia
363,PT. Hacktivate Teknologi Indonesia,Engineering,Indonesia
364,PT. Hello Kreasi Indonesia,"Ops, HR, People, Talent",Indonesia
365,PT. Indodev Niaga Internet,"Engineering, Data and Analytics",Indonesia
366,PT. Indopay Merchant Services,Design,Indonesia
367,PT. Jaya Obayashi,"Marketing, Sales, BD and Partnerships, Engineering",Indonesia
368,PT. Lunaria Annua Teknologi,"Marketing, Accounting, Finance",Indonesia
369,PT. Media Nusantara Citra Tbk,"Marketing, Engineering, Data and Analytics",Indonesia
370,PT. Media Nusantara Citra Tbk,"Ops, Data and Analytics",Indonesia
371,PT. Mitra Adiperkasa Tbk,"Marketing, Sales, Product",Indonesia
372,PT. MITRA GLOBAL HOLIDAY GROUP,"Accounting, Finance",Indonesia
373,PT. Otten Coffee Indonesia,Marketing,Indonesia
374,PT. Panen Lestari Indonesia,"Marketing, Sales, BD and Partnerships",Indonesia
375,PT. Paragon Pratama Teknologi,"Marketing, Sales, BD and Partnerships",Indonesia
376,PT. Phillip Futures,"Marketing, Accounting, Finance, Data and Analytics, HR, People, Talent",Indonesia
377,PT. Prisma DIgital Media,Design,Indonesia
378,PT. Rightledger indonesia,"Marketing, Sales, BD and Partnerships",Indonesia
379,PT. Sale Stock Indonesia,Marketing,Indonesia
380,PT. Sandabi Indah Lestari,Finance,Indonesia
381,PT. Sophie Bakery Indonesia,"Accounting, Finance",Indonesia
382,PT. Sumber Kreatif Indonesia,Design,Indonesia
383,PT. Tennova Cipta Inatech (Pomona),"Product, HR, People, Talent, Design",Indonesia
384,PT. Transportasi Jakarta,"Marketing, BD and Partnerships",Indonesia
385,PT. Tunas Ridean Tbk,"BD and Partnerships, Product, Ops",Indonesia
386,PT. ULTIMA ASIA TEKNOLOGI (Formerly known as Micros - Fidelio Indonesia),"Sales, BD and Partnerships",Indonesia
387,PT.Satyamitra Surya Perkasa,"BD and Partnerships, Engineering, Data and Analytics",Indonesia
388,PT.Visionet Data International,Engineering,Indonesia
389,Purwadhika Startup & Coding School,Marketing,Indonesia
390,Purwadhika Startup & Coding School,Marketing,Indonesia
391,Qazwa,Engineering,Indonesia
392,Qazwa,Engineering,Indonesia
393,Qazwa,"Engineering, Design",Indonesia
394,QRIM Express,"Marketing, Design",Indonesia
395,Ralali,Marketing,Indonesia
396,Ralali.com,Engineering,Indonesia
397,Ralali.com,Marketing,Indonesia
398,Ralali.com,"Sales, BD and Partnerships",Indonesia
399,Ralali.com,"Sales, BD and Partnerships, Ops",Indonesia
400,ReCharge Indonesia,Marketing,Indonesia
401,ReCharge Indonesia,"Sales, BD and Partnerships, Product",Indonesia
402,RedDoorz Indonesia,"Marketing, Sales, BD and Partnerships, Data and Analytics",Indonesia
403,RefillMyBottle,"Marketing, BD and Partnerships, Product, Design",Indonesia
404,Samala Hotel,"Accounting, Finance",Indonesia
405,Schoters,BD and Partnerships,Indonesia
406,Schoters,Design,Indonesia
407,Schoters,"Marketing, Sales, Product",Indonesia
408,Seekmi,"BD and Partnerships, Ops, Data and Analytics, HR, People, Talent",Indonesia
409,Shangri La Barr Al Jissah,"Marketing, Sales",Indonesia
410,SIAP Social Innovation.id,"Marketing, Sales, BD and Partnerships",Indonesia
411,Stats Perform,"Marketing, BD and Partnerships, Design",Indonesia
412,STOQO,"HR, People, Talent",Indonesia
413,Style Theory,Design,Indonesia
414,Susi Air,"Ops, HR, People, Talent",Indonesia
415,Sweet Escape,Design,Indonesia
416,SweetEscape,BD and Partnerships,Indonesia
417,SweetEscape,BD and Partnerships,Indonesia
418,SweetEscape,BD and Partnerships,Indonesia
419,SweetEscape,Creative,Indonesia
420,SweetEscape,Creative,Indonesia
421,SweetEscape,Creative,Indonesia
422,SweetEscape,Design,Indonesia
423,SweetEscape,Design,Indonesia
424,SweetEscape,Design,Indonesia
425,SweetEscape,Engineering,Indonesia
426,SweetEscape,Engineering,Indonesia
427,SweetEscape,Engineering,Indonesia
428,SweetEscape,Engineering,Indonesia
429,SweetEscape,Engineering,Indonesia
430,SweetEscape,Finance,Indonesia
431,SweetEscape,Finance,Indonesia
432,SweetEscape,Marketing,Indonesia
433,SweetEscape,Marketing,Indonesia
434,SweetEscape,Marketing,Indonesia
